purpose,stayDuration,adults,children,budgetValue,foodPreference,accessibility,Nature,Culture,Adventure,Food,Wellness,Entertainment,Shopping,Family,action__Prepare reliable Wi-Fi and an in-room workspace,action__Arrange express check-in and flexible arrival support,action__Offer a short after-hours experience plan,action__Confirm family room setup and child amenities,action__Share child-friendly activity times and transport options,action__Arrange a romantic welcome and private dining option,action__Offer spa or wellness appointment times,action__Prepare a quiet room and restful arrival experience,"action__Confirm guided adventure safety, weather, and transport",action__Prepare a nature activity briefing and suitable timing,action__Share a local culture and heritage itinerary,action__Confirm dietary dining options before arrival,action__Review accessibility needs and prepare appropriate support,action__Curate local entertainment options for the preferred time,action__Prepare a local shopping and artisan-market guide,purpose__Leisure,purpose__Family Holiday,purpose__Honeymoon,purpose__Wellness,purpose__Adventure,purpose__Business
Leisure,8,4,0,3,1,0,5,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Family Holiday,4,3,0,4,0,0,1,5,1,1,5,5,1,5,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Leisure,8,3,1,1,0,0,5,5,1,1,1,5,5,5,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
Business,8,3,0,3,0,0,1,1,5,1,1,5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Wellness,10,2,2,1,1,0,1,1,1,5,1,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Business,1,2,2,1,0,0,1,1,1,1,5,1,1,5,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventure,5,1,1,4,0,0,1,1,5,1,1,5,1,5,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Family Holiday,1,3,0,1,1,1,5,5,1,1,1,5,1,5,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
Leisure,4,4,0,1,1,0,5,1,1,1,5,1,5,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
Wellness,9,2,2,4,0,0,1,1,1,1,1,5,1,5,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Leisure,6,1,3,3,0,0,1,5,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Business,8,4,1,3,0,0,1,1,1,1,1,1,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Honeymoon,10,4,0,2,1,1,1,1,1,1,5,5,1,5,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0
Business,9,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Wellness,5,3,0,2,0,0,5,1,1,1,5,5,1,5,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Honeymoon,1,1,0,3,0,0,1,1,1,1,5,1,5,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Honeymoon,5,4,0,3,1,0,5,1,1,1,5,1,5,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
Honeymoon,3,4,0,4,0,0,1,1,1,1,5,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Honeymoon,8,2,0,3,0,0,5,1,1,5,5,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Adventure,9,4,3,2,0,0,5,1,5,1,5,1,1,5,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Leisure,3,3,0,2,1,1,5,1,1,1,5,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
Leisure,5,3,0,2,0,0,5,1,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Business,8,3,0,2,1,0,5,1,5,1,1,5,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
Family Holiday,1,4,1,3,0,0,1,1,1,1,5,1,5,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Wellness,10,3,0,4,1,0,1,1,1,5,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Leisure,8,2,2,1,1,0,5,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Honeymoon,8,3,0,1,0,0,1,5,1,5,1,5,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
Leisure,8,2,0,4,1,0,5,1,1,5,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Adventure,4,4,0,2,1,0,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Family Holiday,4,2,1,4,0,0,1,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Family Holiday,10,4,0,2,1,0,1,5,1,1,1,5,1,5,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
Leisure,5,3,0,4,0,0,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Business,6,4,0,2,0,1,1,5,5,1,1,5,1,5,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
Family Holiday,1,4,0,3,1,0,1,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Family Holiday,2,3,0,2,1,0,5,5,5,1,1,5,1,5,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
Honeymoon,8,1,0,1,1,0,5,1,1,1,5,5,1,5,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0
Honeymoon,8,4,1,2,1,0,1,1,1,1,5,1,5,5,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
Wellness,2,2,2,2,0,0,1,1,1,1,1,1,5,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Business,5,4,1,4,1,0,5,1,1,5,5,1,1,5,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Leisure,4,2,1,3,0,0,5,1,5,5,5,1,1,5,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Honeymoon,7,4,2,2,0,0,1,1,1,1,5,1,1,5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Wellness,1,2,0,2,0,0,1,5,1,1,5,1,5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
Adventure,9,2,1,4,1,0,1,5,5,1,5,1,5,5,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0
Wellness,4,1,0,3,0,0,5,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Leisure,3,3,0,4,1,0,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Family Holiday,5,1,3,4,0,0,5,1,1,5,5,1,1,5,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Leisure,6,2,0,3,0,0,5,1,5,1,1,1,1,5,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Honeymoon,9,2,0,4,1,1,5,5,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
Family Holiday,10,2,0,4,1,0,1,1,1,1,5,1,5,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Adventure,10,4,0,1,0,0,1,1,5,1,1,1,1,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Business,5,3,3,2,1,0,5,1,5,1,5,5,5,5,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
Wellness,2,1,0,4,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Family Holiday,6,3,2,4,0,0,1,1,5,1,1,1,1,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Adventure,7,4,0,4,1,0,1,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Business,6,4,1,3,0,0,1,1,1,1,1,1,5,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Wellness,5,1,0,3,1,1,1,1,1,1,5,5,1,5,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0
Leisure,1,4,0,3,0,0,1,1,5,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Wellness,2,1,2,2,0,0,5,1,5,1,5,1,1,5,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Family Holiday,7,1,3,2,1,0,1,1,1,5,5,5,5,5,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0
Honeymoon,3,1,0,2,1,1,1,5,1,1,5,1,1,5,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
Family Holiday,4,1,1,2,1,0,1,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Leisure,3,1,0,1,1,0,5,1,1,1,5,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Leisure,4,4,0,1,0,0,5,1,1,5,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Leisure,7,1,0,2,1,0,5,5,5,1,1,1,1,5,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Wellness,8,3,0,2,0,0,1,1,5,5,5,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
Wellness,2,2,0,1,1,0,5,1,1,1,5,5,1,5,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0
Honeymoon,2,1,0,3,0,0,5,1,1,1,1,1,1,5,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Family Holiday,6,3,0,1,0,0,1,1,5,1,1,5,5,5,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
Honeymoon,5,4,1,4,0,0,1,1,5,5,5,1,1,5,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Business,7,4,0,4,0,0,1,5,1,1,5,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Adventure,4,1,0,4,1,0,1,1,1,1,5,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Business,2,2,0,2,0,0,1,1,5,5,1,5,5,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
Business,6,2,0,1,0,0,1,5,1,1,1,5,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Family Holiday,3,1,0,2,1,0,1,1,1,1,1,1,5,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Honeymoon,4,4,0,1,0,0,1,5,1,1,5,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Wellness,8,2,1,4,0,0,1,1,5,5,5,5,5,5,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
Wellness,9,1,0,4,1,0,1,5,1,1,5,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Leisure,8,2,0,3,1,1,5,5,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
Family Holiday,5,4,0,4,1,0,1,1,5,5,1,1,1,5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Wellness,6,4,0,1,1,0,1,1,1,1,5,1,5,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Business,2,3,0,4,1,0,1,5,5,1,5,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
Honeymoon,10,1,0,3,1,0,1,1,5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Family Holiday,1,1,0,4,1,0,1,5,5,1,1,1,1,5,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
Wellness,1,3,0,2,1,0,1,1,1,1,5,1,5,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Leisure,9,2,0,3,0,0,5,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Wellness,10,4,0,3,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Honeymoon,1,4,0,2,0,0,5,5,1,1,1,1,5,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
Business,4,2,0,4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Business,9,3,1,2,0,0,1,1,1,1,1,5,5,5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Business,4,3,0,3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Family Holiday,9,1,0,4,1,1,1,1,1,5,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
Family Holiday,9,4,1,1,0,0,1,1,1,5,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Leisure,3,3,0,2,1,0,1,5,5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Honeymoon,6,3,0,2,1,1,1,5,1,5,5,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
Leisure,4,3,0,2,1,0,5,5,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
Wellness,3,2,2,2,0,0,5,5,5,1,5,1,5,5,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
Leisure,4,4,3,4,0,0,5,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Honeymoon,10,4,0,3,0,0,1,1,5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Business,2,3,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wellness,8,4,0,3,0,0,5,1,1,1,5,5,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Business,7,4,1,2,0,0,5,1,1,1,1,1,1,5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Family Holiday,1,4,0,2,1,0,1,5,5,5,1,1,1,5,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
Leisure,5,4,0,2,1,0,5,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Leisure,7,3,0,1,0,0,1,5,5,1,1,1,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
Family Holiday,1,1,3,4,1,1,1,1,5,5,1,1,1,5,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
Leisure,2,3,0,4,0,0,5,5,1,1,5,1,5,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0
Family Holiday,3,1,2,1,1,0,1,1,5,5,1,1,5,5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
Business,4,3,3,1,0,0,1,5,5,1,5,1,1,5,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Honeymoon,10,1,0,4,1,0,1,1,1,5,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Wellness,7,3,0,4,1,0,1,1,5,5,5,5,5,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
Honeymoon,5,4,1,1,0,0,1,1,1,1,1,5,1,5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Wellness,9,2,1,4,1,0,5,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Honeymoon,4,4,0,1,0,0,1,5,1,5,1,1,1,5,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Wellness,10,2,0,2,0,0,5,1,5,5,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
Family Holiday,8,2,1,2,0,0,1,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Honeymoon,1,3,0,1,0,0,5,1,1,1,5,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Adventure,5,4,0,4,1,0,1,1,1,5,5,1,1,5,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Honeymoon,8,1,2,1,0,1,5,5,5,1,5,1,1,5,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0
Wellness,5,1,0,4,1,0,1,1,1,5,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Honeymoon,9,3,0,3,0,1,5,1,5,5,5,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0
Leisure,8,2,0,1,0,0,5,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Family Holiday,2,4,2,3,1,0,1,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Family Holiday,1,3,0,2,1,0,5,1,5,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Family Holiday,8,3,1,2,1,0,5,1,5,1,5,1,1,5,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Business,6,3,0,2,0,0,1,1,1,1,5,1,1,5,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Family Holiday,7,3,1,3,1,0,1,5,1,5,1,5,1,5,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
Honeymoon,3,2,1,2,0,0,1,1,5,1,5,1,1,5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Family Holiday,1,2,0,1,0,0,5,1,1,5,5,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Wellness,7,2,0,3,1,1,1,1,5,1,5,1,5,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0
Honeymoon,1,4,3,4,0,0,5,1,1,1,5,5,1,5,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Honeymoon,3,3,0,2,0,0,1,1,1,5,5,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Leisure,7,3,0,1,0,0,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Honeymoon,10,2,1,4,1,0,1,5,1,1,1,5,1,5,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
Leisure,3,1,0,4,0,1,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Family Holiday,6,2,0,1,1,0,5,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Wellness,6,2,0,2,0,0,5,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Leisure,10,4,0,2,0,1,5,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
Wellness,6,1,0,4,0,0,1,1,5,1,1,1,5,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
Wellness,6,1,2,3,1,0,1,5,1,5,1,1,1,5,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Adventure,6,2,2,3,1,0,1,1,5,1,1,5,5,5,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0
Family Holiday,4,4,0,1,1,0,1,1,1,1,1,1,5,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Family Holiday,7,1,0,2,1,0,1,1,5,5,1,1,5,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
Family Holiday,8,2,0,4,0,0,5,1,1,1,1,5,1,5,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Leisure,2,4,0,4,1,0,5,5,1,5,1,1,5,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
Adventure,8,4,1,4,1,0,1,1,5,1,5,1,1,5,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Honeymoon,7,3,0,2,0,0,1,5,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Business,4,1,3,3,1,0,5,5,5,1,1,5,1,5,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1
Wellness,9,4,0,4,0,0,1,1,1,1,5,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Family Holiday,8,2,1,2,0,0,5,5,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Family Holiday,10,3,2,1,0,0,1,1,5,1,1,1,1,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Adventure,9,4,1,2,0,0,1,1,5,5,1,1,1,5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Family Holiday,2,3,1,3,0,0,1,1,1,1,1,5,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Leisure,1,2,2,2,0,0,5,1,5,5,1,1,1,5,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Leisure,6,1,0,4,1,0,5,1,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Family Holiday,4,3,0,3,1,1,1,5,1,1,5,1,5,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0
Honeymoon,6,1,3,4,0,0,1,1,1,1,1,1,1,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adventure,7,1,0,1,1,0,1,1,5,1,1,5,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
Family Holiday,8,3,0,2,0,0,1,1,1,1,1,1,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Family Holiday,9,2,0,4,0,1,1,5,5,1,5,1,1,5,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
Business,8,1,2,3,1,0,1,5,1,1,5,5,1,5,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
Business,8,3,0,2,1,0,1,1,1,1,5,1,1,5,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Honeymoon,1,3,0,3,1,0,1,1,1,1,1,5,5,5,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
Honeymoon,8,4,0,2,0,0,1,1,5,1,5,1,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Family Holiday,4,4,0,1,1,0,1,5,1,5,1,5,5,5,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
Family Holiday,10,1,2,4,1,0,1,5,5,1,1,1,5,5,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
Honeymoon,2,1,1,2,0,0,1,1,5,1,5,1,5,5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Family Holiday,6,4,0,2,0,0,1,1,1,1,1,5,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Adventure,2,4,0,1,0,0,1,5,1,5,1,5,1,5,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
Honeymoon,5,4,2,2,1,0,1,1,5,1,5,1,5,5,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
Business,10,2,1,3,0,0,1,5,1,1,1,5,5,5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Honeymoon,9,2,0,4,1,0,1,5,1,5,5,1,1,5,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
Leisure,5,1,0,1,0,1,1,1,1,1,1,5,5,5,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Wellness,6,3,0,2,0,0,1,5,5,1,5,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
Business,1,1,1,2,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Adventure,6,1,0,2,0,0,1,1,5,1,5,1,5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Family Holiday,3,3,0,2,1,0,1,1,1,1,5,1,5,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Family Holiday,2,1,0,4,1,0,5,5,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Honeymoon,4,1,0,4,1,1,5,5,1,1,5,1,1,5,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
Business,8,4,0,3,1,0,1,5,1,1,1,1,5,5,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
